model_id,model_full_name,organization,modeling_status,S_gpqa_diamond_diamond_openrouter_fixed_set_accuracy_tools_no,S_livebench_logic_with_navigation_2026_06_25_task_score_tools_no,S_livebench_zebra_puzzle_2026_06_25_task_score_tools_no,S_livebench_amps_hard_2026_06_25_task_score_tools_no,S_livebench_math_comp_2026_06_25_task_score_tools_no,S_livebench_olympiad_2026_06_25_task_score_tools_no,S_aa_omniscience_6_000_question_snapshot_2026_08_16_omniscience_index_tools_no,S_hle_text_only_aa_2_158_question_subset_snapshot_2026_08_16_accuracy_tools_no,S_aa_lcr_100_question_snapshot_2026_08_16_accuracy_tools_no,S_corpusqa_1m_1m_acc_tools_no,S_mrcr_1m_1m_mmr_tools_no,S_frontierswe_reported_dominance_score_tools_agent_harness,S_livebench_code_completion_2026_06_25_task_score_tools_no,S_livebench_code_generation_2026_06_25_task_score_tools_no,S_livebench_javascript_2026_06_25_task_score_tools_no,S_livebench_python_2026_06_25_task_score_tools_no,S_livebench_typescript_2026_06_25_task_score_tools_no,S_programbench_reported_accuracy_tools_agent_harness,S_swe_verified_verified_resolved_tools_agent_tools,S_mmmu_pro_aa_protocol_snapshot_2026_08_16_accuracy_tools_no,S_mathvision_reported_accuracy_tools_no
kimi_k3_max,Kimi K3 (max reasoning),Moonshot AI,CORE_MODEL,91.78001,80.0,100.0,97.0,95.098,91.649,19.7,0.468952734012975,0.826666666666667,NA,NA,81.2,82.609,80.282,68.182,65.0,53.333,77.8,NA,0.805202312138728,94.3
gpt_5_6_sol_max,GPT-5.6 Sol (max),OpenAI,CORE_MODEL,NA,82.0,100.0,98.0,95.098,91.693,21.9666666666667,0.494902687673772,0.776666666666667,NA,NA,71.3,84.783,83.099,63.636,55.0,50.0,77.6,NA,0.834104046242775,95.8
gpt_5_5_xhigh,GPT-5.5 (xhigh),OpenAI,CORE_MODEL,93.266,76.0,100.0,97.0,96.078,91.351,NA,0.457831325301205,0.79,NA,NA,64.9,82.609,81.69,63.636,55.0,43.333,70.8,NA,0.798843930635838,92.2
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",Anthropic,CORE_MODEL,82.323233,78.0,100.0,99.0,95.098,92.845,43.3,0.554680259499537,0.766666666666667,NA,NA,86.6,80.435,91.549,68.182,65.0,53.333,76.8,NA,NA,94.8
claude_opus_4_8_max,Claude Opus 4.8 (max),Anthropic,CORE_MODEL,89.30975,78.0,100.0,98.0,98.039,92.227,NA,0.486561631139944,0.73,NA,NA,66.7,84.783,78.873,68.182,50.0,33.333,71.9,NA,NA,86.7
gemini_3_1_pro_high,Gemini-3.1-Pro (High),Google DeepMind,CORE_MODEL,94.2761,72.0,85.25,98.0,96.078,92.102,NA,0.470342910101946,0.79,53.8,76.3,NA,78.261,74.648,59.091,50.0,23.333,NA,NA,0.824277456647399,NA
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,DeepSeek,CORE_MODEL,87.7104,64.0,92.0,98.0,96.078,90.624,0.833333333333333,0.410101946246525,0.753333333333333,62.0,83.5,NA,69.565,70.423,54.545,50.0,23.333,NA,80.6,NA,NA
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,DeepSeek,CORE_MODEL,87.1212,64.0,49.25,98.0,97.059,86.531,NA,0.385542168674699,0.743333333333333,60.5,78.7,NA,65.217,73.239,54.545,35.0,23.333,NA,79.0,NA,NA
qwen3_8_max,Qwen3.8-Max,Alibaba Qwen,CORE_MODEL,NA,74.0,100.0,98.0,95.098,91.151,3.4,0.430491195551437,0.743333333333333,NA,NA,NA,73.913,71.831,77.273,60.0,56.667,NA,NA,0.823121387283237,NA
glm_5_2_max,GLM-5.2 (max),Zhipu AI / Z.ai,CORE_MODEL,86.009797,80.0,65.5,98.0,96.078,89.047,4.43333333333333,0.411492122335496,0.766666666666667,NA,NA,67.3,80.435,78.873,63.636,55.0,36.667,63.7,NA,NA,NA
