bootstrap,dimension,converged,message
1,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
3,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
3,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
3,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
3,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
3,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
4,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
4,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
4,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
4,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
4,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
5,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
5,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
5,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
5,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
5,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
6,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
6,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
6,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
6,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
6,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
7,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
7,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
7,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
7,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
7,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
8,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
8,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
8,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
8,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
8,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
9,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
9,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
9,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
9,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
9,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
10,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
10,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
10,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
10,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
10,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
11,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
11,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
11,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
11,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
11,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
13,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
13,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
13,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
13,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
