bootstrap,model_id,overall_score,rank
1,claude_fable_5_max,63.463042665396,1
1,glm_5_2_max,62.625474117459135,2
1,gpt_5_5_xhigh,60.12510967423914,3
1,deepseek_v4_flash_max,59.03914887832035,4
1,gpt_5_6_sol_max,54.593768390782294,5
1,deepseek_v4_pro_max,52.17093333862923,6
1,gemini_3_1_pro_high,48.020567637217,7
1,qwen3_8_max,47.54355493306294,8
1,claude_opus_4_8_max,34.622472020081744,9
1,kimi_k3_max,31.062222514200776,10
2,deepseek_v4_flash_max,73.40853052226146,1
2,gpt_5_6_sol_max,70.6242400988657,2
2,kimi_k3_max,59.22860598256788,3
2,gpt_5_5_xhigh,58.17612457821953,4
2,claude_fable_5_max,57.41117653157259,5
2,glm_5_2_max,54.1243404764787,6
2,deepseek_v4_pro_max,53.52374626828315,7
2,claude_opus_4_8_max,43.900405558297265,8
2,qwen3_8_max,35.73922908105533,9
2,gemini_3_1_pro_high,21.299787458524523,10
3,glm_5_2_max,64.88187666904996,1
3,gpt_5_5_xhigh,60.816917789502874,2
3,qwen3_8_max,48.36437001750387,3
3,claude_opus_4_8_max,45.12653079454812,4
3,deepseek_v4_flash_max,36.04551359558911,5
3,kimi_k3_max,35.76482710976112,6
3,gpt_5_6_sol_max,35.666001828723694,7
3,gemini_3_1_pro_high,31.095765393072814,8
3,claude_fable_5_max,29.022760827245417,9
3,deepseek_v4_pro_max,24.53237788786446,10
4,deepseek_v4_flash_max,81.70331535591423,1
4,qwen3_8_max,67.73017783739883,2
4,claude_opus_4_8_max,61.38191317316971,3
4,glm_5_2_max,40.11847151984158,4
4,kimi_k3_max,36.772819206488684,5
4,deepseek_v4_pro_max,33.35402187229724,6
4,gemini_3_1_pro_high,30.9121254612362,7
4,gpt_5_5_xhigh,30.664169657617375,8
4,gpt_5_6_sol_max,27.719236205977186,9
4,claude_fable_5_max,27.621695635187052,10
5,kimi_k3_max,67.07341514282543,1
5,gpt_5_5_xhigh,61.94682702452132,2
5,deepseek_v4_pro_max,58.19745173192305,3
5,claude_fable_5_max,53.09963822781718,4
5,gemini_3_1_pro_high,38.91456136693296,5
5,claude_opus_4_8_max,32.88931401986426,6
5,qwen3_8_max,32.63465537573794,7
5,glm_5_2_max,24.571866615546657,8
5,deepseek_v4_flash_max,23.63137993093491,9
5,gpt_5_6_sol_max,23.630072983670377,10
6,claude_fable_5_max,79.46483485226335,1
6,kimi_k3_max,58.00936478919183,2
6,gpt_5_5_xhigh,56.215507255666026,3
6,claude_opus_4_8_max,56.21313522133315,4
6,glm_5_2_max,52.741736134663824,5
6,gpt_5_6_sol_max,48.32070263817139,6
6,gemini_3_1_pro_high,48.25047138775166,7
6,qwen3_8_max,35.94885066587886,8
6,deepseek_v4_pro_max,31.41074016053647,9
6,deepseek_v4_flash_max,29.692748328087845,10
7,claude_fable_5_max,67.40334669623257,1
7,gpt_5_6_sol_max,63.33255898491727,2
7,claude_opus_4_8_max,45.06516286747047,3
7,deepseek_v4_pro_max,44.81242548138297,4
7,gemini_3_1_pro_high,39.18942623861142,5
7,deepseek_v4_flash_max,36.89680159230913,6
7,gpt_5_5_xhigh,36.01458359263191,7
7,kimi_k3_max,33.55396145052344,8
7,glm_5_2_max,32.03132085871166,9
7,qwen3_8_max,30.510436471777304,10
8,gpt_5_6_sol_max,85.2403596428661,1
8,qwen3_8_max,44.39073746873299,2
8,gemini_3_1_pro_high,43.92229482895138,3
8,claude_fable_5_max,41.115594280586706,4
8,gpt_5_5_xhigh,40.29325126670385,5
8,claude_opus_4_8_max,40.2079151828877,6
8,kimi_k3_max,35.706878671882514,7
8,deepseek_v4_flash_max,31.038147546313724,8
8,deepseek_v4_pro_max,28.04803946355966,9
8,glm_5_2_max,28.02891630767696,10
9,claude_fable_5_max,59.74609173321211,1
9,gemini_3_1_pro_high,57.81918596414657,2
9,claude_opus_4_8_max,39.61926687696406,3
9,deepseek_v4_flash_max,39.495208812604076,4
9,gpt_5_6_sol_max,30.287304105962754,5
9,gpt_5_5_xhigh,28.9979414136428,6
9,qwen3_8_max,28.39192707882281,7
