bootstrap,model_id,overall_score,rank
1,gpt_5_6_sol_max,74.44523790780676,1
1,gemini_3_1_pro_high,54.97354722116866,2
1,claude_opus_4_8_max,54.42358486366802,3
1,claude_fable_5_max,53.984693591606984,4
1,gpt_5_5_xhigh,52.331792890484664,5
1,qwen3_8_max,31.686445356026162,6
1,kimi_k3_max,14.386975822847834,7
2,gpt_5_5_xhigh,76.98416344984442,1
2,claude_fable_5_max,62.914239128558016,2
2,kimi_k3_max,61.821429242244875,3
2,gpt_5_6_sol_max,56.85815066287587,4
2,claude_opus_4_8_max,31.439848156448775,5
2,qwen3_8_max,28.595896760639004,6
2,gemini_3_1_pro_high,17.29475157515155,7
3,qwen3_8_max,56.14927954625061,1
3,claude_opus_4_8_max,53.33130938221137,2
3,gpt_5_5_xhigh,45.92302770595725,3
3,gpt_5_6_sol_max,39.93681524912381,4
3,gemini_3_1_pro_high,35.35700643041661,5
3,claude_fable_5_max,27.67158794314817,6
3,kimi_k3_max,14.397170280772373,7
4,gpt_5_5_xhigh,57.97020346238016,1
4,gemini_3_1_pro_high,55.39853204290067,2
4,qwen3_8_max,51.9703885518212,3
4,claude_fable_5_max,48.44279802410194,4
4,claude_opus_4_8_max,37.00195984395427,5
4,kimi_k3_max,19.495197009696554,6
4,gpt_5_6_sol_max,17.355322883114276,7
5,kimi_k3_max,79.58130779029659,1
5,gpt_5_5_xhigh,57.03045147423867,2
5,claude_fable_5_max,42.28127467021427,3
5,claude_opus_4_8_max,36.90428734061125,4
5,qwen3_8_max,25.367678975378762,5
5,gemini_3_1_pro_high,24.739701802017166,6
5,gpt_5_6_sol_max,15.552407390606687,7
6,claude_fable_5_max,78.34296966102202,1
6,gpt_5_5_xhigh,72.38512425443679,2
6,kimi_k3_max,53.16954951559552,3
6,gemini_3_1_pro_high,46.29761345566344,4
6,gpt_5_6_sol_max,43.44780565148285,5
6,qwen3_8_max,33.05362616438328,6
6,claude_opus_4_8_max,25.18498786865374,7
7,gpt_5_6_sol_max,74.66982475503217,1
7,claude_fable_5_max,66.38261845536779,2
7,kimi_k3_max,34.968067714899504,3
7,gemini_3_1_pro_high,34.66377550027818,4
7,claude_opus_4_8_max,32.273835315317356,5
7,gpt_5_5_xhigh,31.9283004374715,6
7,qwen3_8_max,29.46680697510341,7
8,gpt_5_6_sol_max,96.61826068836622,1
8,claude_opus_4_8_max,30.66742816864849,2
8,qwen3_8_max,27.821877808927823,3
8,gpt_5_5_xhigh,25.441687473404617,4
8,kimi_k3_max,22.16068790619814,5
8,gemini_3_1_pro_high,17.51026599794878,6
8,claude_fable_5_max,15.143417803998718,7
9,claude_fable_5_max,69.09533938669071,1
9,gemini_3_1_pro_high,61.78938130070946,2
9,claude_opus_4_8_max,45.62754952825324,3
9,qwen3_8_max,44.95135762838677,4
9,gpt_5_5_xhigh,34.986968952817335,5
9,gpt_5_6_sol_max,26.014387876389875,6
9,kimi_k3_max,15.00258539860716,7
10,kimi_k3_max,83.61071379688526,1
10,claude_opus_4_8_max,48.28530208495115,2
10,gpt_5_6_sol_max,42.75457747041008,3
10,qwen3_8_max,33.23949211670103,4
10,gpt_5_5_xhigh,29.415642560515536,5
10,claude_fable_5_max,28.741471402705237,6
10,gemini_3_1_pro_high,27.509728874858375,7
11,gemini_3_1_pro_high,84.62103831721699,1
11,claude_fable_5_max,62.71343245607607,2
11,gpt_5_6_sol_max,51.86266871354675,3
11,kimi_k3_max,46.50133178659519,4
11,gpt_5_5_xhigh,44.017822654471345,5
11,qwen3_8_max,25.40510894838237,6
11,claude_opus_4_8_max,17.620453773709556,7
12,kimi_k3_max,66.73141003472226,1
12,gpt_5_6_sol_max,65.58248775286197,2
12,qwen3_8_max,54.0934348307177,3
12,gemini_3_1_pro_high,53.64857481026654,4
12,claude_opus_4_8_max,37.639933957631534,5
12,claude_fable_5_max,37.58153396793024,6
12,gpt_5_5_xhigh,27.76308886815602,7
13,gpt_5_5_xhigh,69.58150093940935,1
13,claude_opus_4_8_max,66.79202779944234,2
13,kimi_k3_max,50.19369585602506,3
13,gpt_5_6_sol_max,45.67020018277759,4
13,gemini_3_1_pro_high,41.195791520271726,5
13,qwen3_8_max,26.787289355931964,6
13,claude_fable_5_max,9.757292568736993,7
14,claude_fable_5_max,75.98843730851283,1
14,claude_opus_4_8_max,58.77252006366848,2
14,kimi_k3_max,47.81947576808267,3
14,gemini_3_1_pro_high,45.964359495705445,4
14,gpt_5_6_sol_max,32.063447113431494,5
14,gpt_5_5_xhigh,25.02439308480882,6
14,qwen3_8_max,22.286798306734358,7
15,claude_opus_4_8_max,43.29449809117513,1
15,claude_fable_5_max,43.24310689671289,2
15,gemini_3_1_pro_high,39.01958083590304,3
15,gpt_5_5_xhigh,34.70206959786155,4
15,kimi_k3_max,31.856413259735493,5
15,qwen3_8_max,27.86017068055739,6
15,gpt_5_6_sol_max,14.528938218569332,7
16,claude_fable_5_max,79.18753299423092,1
16,qwen3_8_max,54.945399508439124,2
16,claude_opus_4_8_max,51.930944088713666,3
16,kimi_k3_max,48.640781634210256,4
16,gpt_5_5_xhigh,48.00408018583546,5
16,gpt_5_6_sol_max,41.89930317273899,6
16,gemini_3_1_pro_high,33.83601956504363,7
17,kimi_k3_max,80.97090283747347,1
17,claude_opus_4_8_max,61.23636355881567,2
17,claude_fable_5_max,60.48698180601982,3
17,gpt_5_6_sol_max,49.64555289968343,4
17,gemini_3_1_pro_high,36.80421596418034,5
17,gpt_5_5_xhigh,30.1915369484595,6
17,qwen3_8_max,16.81217917204835,7
18,qwen3_8_max,74.09013659566229,1
18,gpt_5_5_xhigh,68.28860928585556,2
18,claude_opus_4_8_max,63.16267323965712,3
18,gpt_5_6_sol_max,60.655701911054585,4
18,gemini_3_1_pro_high,60.082262484110956,5
18,claude_fable_5_max,50.898032122720934,6
18,kimi_k3_max,42.23857265382082,7
19,gpt_5_6_sol_max,87.50281536764635,1
19,claude_opus_4_8_max,56.24482489573478,2
19,claude_fable_5_max,51.00538642968195,3
19,gpt_5_5_xhigh,45.34516477077982,4
19,gemini_3_1_pro_high,24.856549852125955,5
19,kimi_k3_max,23.8097013611486,6
19,qwen3_8_max,20.512502224997995,7
20,claude_fable_5_max,70.87221556544941,1
20,claude_opus_4_8_max,44.13760670079298,2
20,gpt_5_6_sol_max,41.285806401941265,3
20,gpt_5_5_xhigh,40.631527462821616,4
20,kimi_k3_max,29.22244342225942,5
20,gemini_3_1_pro_high,27.29583429851457,6
20,qwen3_8_max,24.661137624541784,7
21,claude_opus_4_8_max,58.897381631346256,1
21,gpt_5_5_xhigh,44.086326086705625,2
21,claude_fable_5_max,38.68046381149557,3
21,qwen3_8_max,38.5743058657734,4
21,gpt_5_6_sol_max,33.77688701353068,5
21,kimi_k3_max,27.97842567883011,6
21,gemini_3_1_pro_high,21.416594979759385,7
22,claude_fable_5_max,88.03672637436132,1
22,claude_opus_4_8_max,58.23051661143397,2
22,qwen3_8_max,47.09580227244969,3
22,gpt_5_6_sol_max,37.232237705636386,4
22,kimi_k3_max,34.336275853946965,5
22,gemini_3_1_pro_high,29.301280286639425,6
22,gpt_5_5_xhigh,25.733242266562517,7
23,claude_fable_5_max,90.66067932753857,1
23,qwen3_8_max,57.09790045535836,2
23,gpt_5_5_xhigh,52.555083660892166,3
23,kimi_k3_max,42.474704711845405,4
23,gemini_3_1_pro_high,41.95274676919186,5
23,gpt_5_6_sol_max,36.8381505990404,6
23,claude_opus_4_8_max,9.878316745803334,7
24,gpt_5_5_xhigh,51.05949282679167,1
24,gpt_5_6_sol_max,45.105392530583295,2
24,claude_fable_5_max,34.46246486625417,3
24,qwen3_8_max,33.575018436892314,4
24,kimi_k3_max,18.83590650909877,5
24,claude_opus_4_8_max,16.75453969620681,6
24,gemini_3_1_pro_high,15.153849078335451,7
25,gpt_5_6_sol_max,79.06694661679253,1
25,claude_opus_4_8_max,64.75186199144987,2
25,gemini_3_1_pro_high,45.020338990476795,3
25,gpt_5_5_xhigh,34.62669509116628,4
25,claude_fable_5_max,26.210445372675007,5
25,kimi_k3_max,25.83938783112454,6
25,qwen3_8_max,21.67612284787513,7
26,gpt_5_5_xhigh,69.78040895710336,1
26,kimi_k3_max,57.80830779264058,2
26,qwen3_8_max,48.882269237395356,3
26,claude_opus_4_8_max,46.42339304053451,4
26,gemini_3_1_pro_high,40.80549145517607,5
26,claude_fable_5_max,31.558523987471535,6
26,gpt_5_6_sol_max,28.22337056997408,7
27,claude_opus_4_8_max,77.90923606598457,1
27,gemini_3_1_pro_high,62.79235507027026,2
27,kimi_k3_max,59.30803956880348,3
27,gpt_5_5_xhigh,39.067630210349286,4
27,gpt_5_6_sol_max,34.54562070170598,5
27,claude_fable_5_max,21.9947552871591,6
27,qwen3_8_max,18.971214060047267,7
28,claude_opus_4_8_max,92.5394215727891,1
28,gpt_5_5_xhigh,66.39208380892156,2
28,gemini_3_1_pro_high,52.55401448205333,3
28,qwen3_8_max,48.82462704803525,4
28,gpt_5_6_sol_max,39.97395920908319,5
28,kimi_k3_max,30.465236704391657,6
28,claude_fable_5_max,20.517900986255256,7
29,gpt_5_6_sol_max,72.83219271165709,1
29,gemini_3_1_pro_high,68.78415899992291,2
29,gpt_5_5_xhigh,67.90298246429319,3
29,kimi_k3_max,50.353003287571994,4
