bootstrap,model_id,overall_score,rank
1,gpt_5_6_sol_max,78.56809980045978,1
1,claude_opus_4_8_max,61.694227231159346,2
1,gemini_3_1_pro_high,59.30454961777407,3
1,claude_fable_5_max,54.515315558979225,4
1,gpt_5_5_xhigh,49.17286949109395,5
1,qwen3_8_max,29.684898279272772,6
1,glm_5_2_max,28.970277006329574,7
1,deepseek_v4_flash_max,27.922935340343752,8
1,deepseek_v4_pro_max,23.728662467186325,9
1,kimi_k3_max,15.196823126965448,10
2,gpt_5_5_xhigh,77.74541579633046,1
2,kimi_k3_max,65.28062926033802,2
2,claude_fable_5_max,55.05462027799328,3
2,deepseek_v4_flash_max,39.42616984993922,4
2,gpt_5_6_sol_max,38.29440258723717,5
2,qwen3_8_max,32.28758647458906,6
2,claude_opus_4_8_max,30.796618710021303,7
2,glm_5_2_max,29.08831666242161,8
2,deepseek_v4_pro_max,28.781672327594716,9
2,gemini_3_1_pro_high,22.417514618104228,10
3,claude_opus_4_8_max,64.77175622752858,1
3,qwen3_8_max,60.26262444313191,2
3,gpt_5_6_sol_max,55.35820771496557,3
3,gpt_5_5_xhigh,49.97103011068261,4
3,glm_5_2_max,41.91706283520421,5
3,gemini_3_1_pro_high,40.91029583596052,6
3,claude_fable_5_max,37.72469124564266,7
3,deepseek_v4_flash_max,23.09133959699765,8
3,kimi_k3_max,21.27634209191015,9
3,deepseek_v4_pro_max,15.207926730479286,10
4,gpt_5_5_xhigh,64.19566006973443,1
4,gemini_3_1_pro_high,57.735976878841974,2
4,claude_fable_5_max,52.95164753886429,3
4,qwen3_8_max,47.99207625550537,4
4,deepseek_v4_flash_max,44.00552334286138,5
4,claude_opus_4_8_max,35.67416682877309,6
4,glm_5_2_max,20.152081098444878,7
4,kimi_k3_max,19.421350778565397,8
4,gpt_5_6_sol_max,16.306386549562585,9
4,deepseek_v4_pro_max,15.66959603517693,10
5,kimi_k3_max,79.97258200863953,1
5,gpt_5_5_xhigh,54.114166183693335,2
5,claude_fable_5_max,37.414645050495416,3
5,deepseek_v4_pro_max,36.18478001930049,4
5,claude_opus_4_8_max,35.72954434778292,5
5,qwen3_8_max,27.59061387941189,6
5,gemini_3_1_pro_high,23.251673234849623,7
5,gpt_5_6_sol_max,17.858094597567426,8
5,glm_5_2_max,14.59182139295847,9
5,deepseek_v4_flash_max,13.86535985720013,10
6,gpt_5_5_xhigh,75.3096611865555,1
6,claude_fable_5_max,68.7973574987841,2
6,gemini_3_1_pro_high,51.17493211209246,3
6,gpt_5_6_sol_max,47.46271521260613,4
6,kimi_k3_max,47.318967348891405,5
6,qwen3_8_max,42.66100632788902,6
6,claude_opus_4_8_max,31.860560299460648,7
6,glm_5_2_max,30.257842791958034,8
6,deepseek_v4_pro_max,18.16090380413934,9
6,deepseek_v4_flash_max,17.536298577672433,10
7,gpt_5_6_sol_max,79.85841615739143,1
7,claude_fable_5_max,64.49226775134989,2
7,kimi_k3_max,36.39543526594839,3
7,gemini_3_1_pro_high,34.472875740022126,4
7,gpt_5_5_xhigh,30.407563941291016,5
7,qwen3_8_max,29.797493384714507,6
7,deepseek_v4_pro_max,26.574563304046322,7
7,claude_opus_4_8_max,25.826668315778484,8
7,deepseek_v4_flash_max,19.279006306763282,9
7,glm_5_2_max,18.444938089191503,10
8,gpt_5_6_sol_max,91.35627022498286,1
8,claude_opus_4_8_max,35.66313597078472,2
8,qwen3_8_max,33.85473588522237,3
8,gpt_5_5_xhigh,31.513389777321713,4
8,kimi_k3_max,29.102606859522766,5
8,claude_fable_5_max,22.951730245037172,6
8,gemini_3_1_pro_high,22.82573410290477,7
8,deepseek_v4_flash_max,17.808417844823218,8
8,glm_5_2_max,15.067475641482808,9
8,deepseek_v4_pro_max,14.18799609455546,10
9,claude_fable_5_max,75.76289910125584,1
9,gemini_3_1_pro_high,63.061775358053765,2
9,qwen3_8_max,54.2513718922784,3
9,claude_opus_4_8_max,51.59563338833676,4
9,gpt_5_5_xhigh,43.04219125256499,5
9,gpt_5_6_sol_max,24.979167146229187,6
9,deepseek_v4_flash_max,24.289727358611117,7
9,kimi_k3_max,17.939286707539893,8
9,glm_5_2_max,14.697858942710736,9
9,deepseek_v4_pro_max,14.38781242046617,10
10,kimi_k3_max,72.32477034344262,1
10,gpt_5_6_sol_max,47.58314270776367,2
10,claude_fable_5_max,42.35323713563714,3
10,claude_opus_4_8_max,41.32935949236351,4
10,qwen3_8_max,35.81645672042972,5
10,deepseek_v4_pro_max,31.198166298104837,6
10,gpt_5_5_xhigh,30.982869881739752,7
10,gemini_3_1_pro_high,30.36763199094035,8
10,deepseek_v4_flash_max,16.94104146807208,9
10,glm_5_2_max,12.52940661231833,10
11,gemini_3_1_pro_high,80.7151046291003,1
11,gpt_5_6_sol_max,58.46762754120638,2
11,claude_fable_5_max,54.305838770887085,3
11,kimi_k3_max,49.093262210393675,4
11,deepseek_v4_pro_max,46.58658776193745,5
11,gpt_5_5_xhigh,37.09144848533246,6
11,glm_5_2_max,30.270024567916458,7
11,qwen3_8_max,25.25537025943312,8
11,claude_opus_4_8_max,16.586696705325362,9
11,deepseek_v4_flash_max,7.792305906267537,10
12,gpt_5_6_sol_max,81.89677324227162,1
12,kimi_k3_max,65.73606074315514,2
12,qwen3_8_max,58.283965896584775,3
12,claude_fable_5_max,55.01579213629091,4
12,claude_opus_4_8_max,46.91197688260391,5
12,deepseek_v4_flash_max,39.59545050989014,6
12,gemini_3_1_pro_high,38.795036443029154,7
12,glm_5_2_max,21.549576158065406,8
12,gpt_5_5_xhigh,21.53852980031847,9
12,deepseek_v4_pro_max,16.341717712089523,10
13,gpt_5_5_xhigh,76.61196334298725,1
13,kimi_k3_max,57.1751780332864,2
13,claude_opus_4_8_max,56.42552905345573,3
13,gemini_3_1_pro_high,53.86231738571925,4
13,gpt_5_6_sol_max,51.881388156736676,5
13,deepseek_v4_flash_max,39.09059115504997,6
13,deepseek_v4_pro_max,33.59177271250404,7
13,glm_5_2_max,25.16490887647721,8
13,qwen3_8_max,22.981403271968652,9
13,claude_fable_5_max,20.27571738274852,10
14,claude_opus_4_8_max,64.56076302939718,1
14,claude_fable_5_max,59.4983969948457,2
14,kimi_k3_max,54.840713216227286,3
14,gemini_3_1_pro_high,53.43112308284256,4
14,gpt_5_5_xhigh,45.05050298987917,5
14,qwen3_8_max,34.8386503309499,6
14,deepseek_v4_pro_max,28.055738090753714,7
14,gpt_5_6_sol_max,27.96479777112954,8
14,glm_5_2_max,24.046085815018714,9
14,deepseek_v4_flash_max,15.489950653146614,10
15,claude_opus_4_8_max,51.655903865404454,1
15,gemini_3_1_pro_high,48.47596294880425,2
15,claude_fable_5_max,47.283938913981885,3
15,deepseek_v4_pro_max,47.027933684159635,4
15,gpt_5_5_xhigh,39.76294829453748,5
15,deepseek_v4_flash_max,38.580855918838175,6
15,kimi_k3_max,37.02491340084812,7
15,qwen3_8_max,32.043475041260095,8
15,gpt_5_6_sol_max,15.966822805624215,9
15,glm_5_2_max,13.809601316103091,10
16,claude_fable_5_max,83.25352850451193,1
16,qwen3_8_max,57.982446095682555,2
16,gpt_5_5_xhigh,57.32716729543087,3
16,kimi_k3_max,57.18817600883986,4
16,gemini_3_1_pro_high,47.91198425945578,5
16,claude_opus_4_8_max,43.42101292857111,6
16,glm_5_2_max,30.677037434202965,7
16,gpt_5_6_sol_max,30.53046500444756,8
16,deepseek_v4_flash_max,30.06333167605695,9
16,deepseek_v4_pro_max,22.590728477585863,10
17,kimi_k3_max,75.92027633675383,1
17,claude_opus_4_8_max,67.77058267278521,2
17,claude_fable_5_max,58.74079156519927,3
17,gpt_5_6_sol_max,49.98703620757988,4
17,gemini_3_1_pro_high,40.56957281287413,5
17,deepseek_v4_pro_max,40.43984649637498,6
17,gpt_5_5_xhigh,30.867925101359262,7
17,qwen3_8_max,20.541414945838284,8
17,glm_5_2_max,13.465332260899615,9
17,deepseek_v4_flash_max,12.696756938652783,10
18,qwen3_8_max,75.97538525273652,1
18,gpt_5_6_sol_max,70.2555878391974,2
18,gpt_5_5_xhigh,62.91991945253572,3
18,gemini_3_1_pro_high,60.475199963437106,4
18,claude_fable_5_max,56.40607965986402,5
18,kimi_k3_max,55.43215695508347,6
18,claude_opus_4_8_max,47.8239509795917,7
18,deepseek_v4_flash_max,43.63738806563995,8
18,deepseek_v4_pro_max,34.04079932406308,9
18,glm_5_2_max,26.390043550212724,10
19,gpt_5_6_sol_max,82.15438699041803,1
19,claude_opus_4_8_max,58.3345966459172,2
19,gpt_5_5_xhigh,44.31762382880012,3
19,claude_fable_5_max,41.67559969066605,4
19,kimi_k3_max,27.17529000115251,5
19,deepseek_v4_pro_max,25.87845973559718,6
19,qwen3_8_max,24.40674004572831,7
19,gemini_3_1_pro_high,21.840770522673566,8
19,glm_5_2_max,17.809440113767852,9
19,deepseek_v4_flash_max,16.90866254444047,10
20,claude_opus_4_8_max,64.7701403051741,1
20,claude_fable_5_max,51.042301147024226,2
20,gpt_5_6_sol_max,45.473478427921094,3
20,gpt_5_5_xhigh,44.11415411079966,4
20,deepseek_v4_pro_max,41.4311586389434,5
20,gemini_3_1_pro_high,40.9114081200791,6
20,qwen3_8_max,37.492245136799994,7
20,kimi_k3_max,28.65012869521717,8
20,glm_5_2_max,22.251288497307563,9
20,deepseek_v4_flash_max,14.672489500734837,10
21,claude_opus_4_8_max,62.99327406196949,1
21,gpt_5_5_xhigh,44.346315024701326,2
21,qwen3_8_max,39.21256795701299,3
21,claude_fable_5_max,37.6479404805313,4
21,deepseek_v4_pro_max,36.701212193178996,5
21,gpt_5_6_sol_max,33.235422022285135,6
21,kimi_k3_max,29.56348627884124,7
21,deepseek_v4_flash_max,24.2319424559863,8
21,gemini_3_1_pro_high,20.478851365610392,9
21,glm_5_2_max,10.720582391447579,10
22,claude_fable_5_max,81.382539228279,1
22,claude_opus_4_8_max,59.83329079950648,2
22,qwen3_8_max,58.92535748215069,3
22,gemini_3_1_pro_high,55.89259767380098,4
22,kimi_k3_max,55.801328256159664,5
22,gpt_5_6_sol_max,50.43711555280645,6
22,glm_5_2_max,25.897974809973988,7
22,gpt_5_5_xhigh,22.643549246090704,8
22,deepseek_v4_pro_max,20.205642176810073,9
22,deepseek_v4_flash_max,18.89926923485908,10
23,claude_fable_5_max,84.24824403235368,1
23,gpt_5_5_xhigh,64.70095842840512,2
23,qwen3_8_max,51.85168476840029,3
23,kimi_k3_max,48.04637691194414,4
23,gemini_3_1_pro_high,40.388242028413416,5
23,gpt_5_6_sol_max,33.96682517642492,6
23,deepseek_v4_pro_max,27.870711427374918,7
23,glm_5_2_max,24.658053990948176,8
23,claude_opus_4_8_max,16.771407787722495,9
23,deepseek_v4_flash_max,11.777692184643286,10
24,gpt_5_5_xhigh,61.208244925915466,1
24,gpt_5_6_sol_max,44.23077030320268,2
24,claude_fable_5_max,36.432553896360076,3
24,deepseek_v4_pro_max,35.331982944354756,4
24,qwen3_8_max,35.05104008279776,5
24,deepseek_v4_flash_max,31.630890969154798,6
24,gemini_3_1_pro_high,24.192002636202965,7
24,kimi_k3_max,20.239169588624886,8
24,claude_opus_4_8_max,17.27030329025784,9
24,glm_5_2_max,12.57149622475775,10
25,gpt_5_6_sol_max,78.56370976954621,1
25,claude_opus_4_8_max,59.829116018135394,2
25,gemini_3_1_pro_high,44.781253734691134,3
25,gpt_5_5_xhigh,30.44663298901122,4
25,claude_fable_5_max,29.386622284320246,5
25,deepseek_v4_flash_max,29.229933902899006,6
25,glm_5_2_max,25.5204402064957,7
25,kimi_k3_max,20.880654387445617,8
25,qwen3_8_max,17.18890926591855,9
25,deepseek_v4_pro_max,10.70413983154238,10
26,gpt_5_5_xhigh,79.55047485722858,1
