analysis,removed,status,comparison,common_models,spearman,kendall_tau,kimi_rank_A,kimi_rank_other,top3_overlap_count,top3_membership_A,top3_membership_other
LOFO,GPQA Diamond,OK,GPQA Diamond,10.0,0.9878787878787878,0.9555555555555554,3,3.0,3.0,claude_fable_5_max; gpt_5_6_sol_max; kimi_k3_max,claude_fable_5_max; gpt_5_6_sol_max; kimi_k3_max
LOFO,LiveBench Logic,OK,LiveBench Logic,10.0,0.9393939393939393,0.8222222222222221,3,4.0,2.0,claude_fable_5_max; gpt_5_6_sol_max; kimi_k3_max,claude_fable_5_max; gemini_3_1_pro_high; gpt_5_6_sol_max
LOFO,LiveBench Math,OK,LiveBench Math,10.0,0.9999999999999999,0.9999999999999999,3,3.0,3.0,claude_fable_5_max; gpt_5_6_sol_max; kimi_k3_max,claude_fable_5_max; gpt_5_6_sol_max; kimi_k3_max
LOFO,AA-Omniscience,OK,AA-Omniscience,10.0,0.9878787878787878,0.9555555555555554,3,4.0,2.0,claude_fable_5_max; gpt_5_6_sol_max; kimi_k3_max,claude_fable_5_max; gemini_3_1_pro_high; gpt_5_6_sol_max
LOFO,Humanity's Last Exam,NETWORK_DISCONNECTED,Humanity's Last Exam,,,,3,,,gpt_5_6_sol_max; claude_fable_5_max; kimi_k3_max,NETWORK_DISCONNECTED
LOFO,AA-LCR,NETWORK_DISCONNECTED,AA-LCR,,,,3,,,gpt_5_6_sol_max; claude_fable_5_max; kimi_k3_max,NETWORK_DISCONNECTED
LOFO,CorpusQA,OK,CorpusQA,10.0,0.9878787878787878,0.9555555555555554,3,3.0,3.0,claude_fable_5_max; gpt_5_6_sol_max; kimi_k3_max,claude_fable_5_max; gpt_5_6_sol_max; kimi_k3_max
LOFO,MRCR,OK,MRCR,10.0,0.9999999999999999,0.9999999999999999,3,3.0,3.0,claude_fable_5_max; gpt_5_6_sol_max; kimi_k3_max,claude_fable_5_max; gpt_5_6_sol_max; kimi_k3_max
LOFO,FrontierSWE,OK,FrontierSWE,10.0,0.9878787878787878,0.9555555555555554,3,4.0,2.0,claude_fable_5_max; gpt_5_6_sol_max; kimi_k3_max,claude_fable_5_max; gemini_3_1_pro_high; gpt_5_6_sol_max
LOFO,LiveBench Coding,NETWORK_DISCONNECTED,LiveBench Coding,,,,3,,,gpt_5_6_sol_max; claude_fable_5_max; kimi_k3_max,NETWORK_DISCONNECTED
LOFO,ProgramBench,OK,ProgramBench,10.0,0.9878787878787878,0.9555555555555554,3,4.0,2.0,claude_fable_5_max; gpt_5_6_sol_max; kimi_k3_max,claude_fable_5_max; gemini_3_1_pro_high; gpt_5_6_sol_max
LOFO,SWE-bench Verified,OK,SWE-bench Verified,10.0,0.9878787878787878,0.9555555555555554,3,3.0,3.0,claude_fable_5_max; gpt_5_6_sol_max; kimi_k3_max,claude_fable_5_max; gpt_5_6_sol_max; kimi_k3_max
LOFO,MMMU-Pro,NETWORK_DISCONNECTED,MMMU-Pro,,,,3,,,gpt_5_6_sol_max; claude_fable_5_max; kimi_k3_max,NETWORK_DISCONNECTED
LOFO,MathVision,NETWORK_DISCONNECTED,MathVision,,,,3,,,gpt_5_6_sol_max; claude_fable_5_max; kimi_k3_max,NETWORK_DISCONNECTED
