scene,prior,model_id,model,varying_parameter,fixed_parameter,from_value,to_value,rank_from,rank_to,rank_jump
coding,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",alpha,-0.7,0.725,0.75,2,1,-1
coding,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",alpha,-0.6499999999999999,0.725,0.75,2,1,-1
coding,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",alpha,-0.6,0.725,0.75,2,1,-1
coding,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",alpha,-0.5499999999999999,0.725,0.75,2,1,-1
coding,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",alpha,-0.5,0.725,0.75,2,1,-1
coding,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",alpha,-0.44999999999999996,0.725,0.75,2,1,-1
coding,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",alpha,-0.39999999999999997,0.725,0.75,2,1,-1
coding,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",alpha,-0.35,0.725,0.75,2,1,-1
coding,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",alpha,-0.3,0.725,0.75,2,1,-1
coding,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",alpha,-0.25,0.725,0.75,2,1,-1
coding,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",alpha,-0.2,0.725,0.75,2,1,-1
coding,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",alpha,-0.15000000000000002,0.725,0.75,2,1,-1
coding,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",alpha,-0.1,0.725,0.75,2,1,-1
coding,equal,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,alpha,-0.7,0.55,0.5750000000000001,4,3,-1
coding,equal,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,alpha,-0.6499999999999999,0.55,0.5750000000000001,4,3,-1
coding,equal,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,alpha,-0.6,0.55,0.5750000000000001,4,3,-1
coding,equal,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,alpha,-0.5499999999999999,0.55,0.5750000000000001,4,3,-1
coding,equal,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,alpha,-0.5,0.55,0.5750000000000001,4,3,-1
coding,equal,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,alpha,-0.44999999999999996,0.55,0.5750000000000001,4,3,-1
coding,equal,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,alpha,-0.39999999999999997,0.55,0.5750000000000001,4,3,-1
coding,equal,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,alpha,-0.35,0.55,0.5750000000000001,4,3,-1
coding,equal,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,alpha,-0.3,0.55,0.5750000000000001,4,3,-1
coding,equal,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,alpha,-0.25,0.55,0.5750000000000001,4,3,-1
coding,equal,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,alpha,-0.2,0.55,0.5750000000000001,4,3,-1
coding,equal,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,alpha,-0.15000000000000002,0.55,0.5750000000000001,4,3,-1
coding,equal,gemini_3_1_pro_high,Gemini-3.1-Pro (High),alpha,-0.7,0.625,0.65,5,6,1
coding,equal,gemini_3_1_pro_high,Gemini-3.1-Pro (High),alpha,-0.6499999999999999,0.65,0.675,5,6,1
coding,equal,gemini_3_1_pro_high,Gemini-3.1-Pro (High),alpha,-0.6,0.65,0.675,5,6,1
coding,equal,gemini_3_1_pro_high,Gemini-3.1-Pro (High),alpha,-0.5499999999999999,0.65,0.675,5,6,1
coding,equal,gemini_3_1_pro_high,Gemini-3.1-Pro (High),alpha,-0.5,0.65,0.675,5,6,1
coding,equal,gemini_3_1_pro_high,Gemini-3.1-Pro (High),alpha,-0.44999999999999996,0.65,0.675,5,6,1
coding,equal,gemini_3_1_pro_high,Gemini-3.1-Pro (High),alpha,-0.39999999999999997,0.65,0.675,5,6,1
