model_id,model,scene,linear_utility,ces_utility,imbalance_penalty,pri
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,0.9221673961009231,0.9183374822531004,0.003829913847822719,0.004153165535906204
kimi_k3_max,Kimi K3 (max reasoning),research,0.9035633301862835,0.9012926282950031,0.0022707018912804244,0.002513052284683005
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,0.9017668199862298,0.8992413504614967,0.0025254695247330927,0.0028005793390930675
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,0.8901612920010735,0.8861624515886894,0.003998840412384075,0.004492264995475957
claude_opus_4_8_max,Claude Opus 4.8 (max),research,0.8853284991039079,0.8794135287469893,0.00591497035691857,0.006681102396348308
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,0.8882251476065814,0.8777936799153787,0.010431467691202734,0.011744170629835746
qwen3_8_max,Qwen3.8-Max,research,0.845147565172623,0.8397485755751156,0.005398989597507398,0.006388221205375707
glm_5_2_max,GLM-5.2 (max),research,0.8369509594190824,0.8335860041360706,0.003364955283011728,0.004020492772177839
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,0.8423028570277962,0.8281204723179951,0.014182384709801044,0.01683763101534039
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,0.8287911617194743,0.8272893300307572,0.0015018316887170924,0.0018120749328471072
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",dialogue,0.9343069685862607,0.932418708623976,0.0018882599622846996,0.0020210273772675647
gpt_5_6_sol_max,GPT-5.6 Sol (max),dialogue,0.933962650860898,0.932145427852394,0.0018172230085040653,0.0019457127186285287
kimi_k3_max,Kimi K3 (max reasoning),dialogue,0.8709152336318428,0.8687069582921643,0.0022082753396784893,0.0025355801051609363
gemini_3_1_pro_high,Gemini-3.1-Pro (High),dialogue,0.8705614183801403,0.8661586954130576,0.004402722967082773,0.005057337568755286
qwen3_8_max,Qwen3.8-Max,dialogue,0.8414881360354695,0.8383797086565321,0.0031084273789373507,0.0036939645918030242
claude_opus_4_8_max,Claude Opus 4.8 (max),dialogue,0.8444511285915771,0.8383394649502275,0.0061116636413496295,0.007237439129891394
gpt_5_5_xhigh,GPT-5.5 (xhigh),dialogue,0.8419768212943635,0.837174749199171,0.004802072095192456,0.005703330511890189
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,dialogue,0.7023497167624497,0.6542860728359404,0.0480636439265093,0.06843263801409846
glm_5_2_max,GLM-5.2 (max),dialogue,0.691858941666474,0.6481379677469584,0.04372097391951557,0.06319347960467965
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,dialogue,0.689168814280134,0.6468756848029605,0.04229312947717345,0.061368315862275945
kimi_k3_max,Kimi K3 (max reasoning),coding,0.9813195098757044,0.9813020054113565,1.7504464347894988e-05,1.7837680971116263e-05
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",coding,0.9769233024074161,0.9762038301568621,0.0007194722505540208,0.0007364674880628163
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,coding,0.9617181231868319,0.9610626303156368,0.0006554928711951513,0.0006815852331274093
gpt_5_6_sol_max,GPT-5.6 Sol (max),coding,0.9514872667357596,0.9512731717446156,0.00021409499114399821,0.00022501088414823232
gemini_3_1_pro_high,Gemini-3.1-Pro (High),coding,0.9277563052621833,0.9259813234950288,0.0017749817671545154,0.0019131982796418794
qwen3_8_max,Qwen3.8-Max,coding,0.9259601657287218,0.9257001776879481,0.000259988040773651,0.0002807767011975541
claude_opus_4_8_max,Claude Opus 4.8 (max),coding,0.9189981161354419,0.9163907203396128,0.002607395795829137,0.002837215604743263
gpt_5_5_xhigh,GPT-5.5 (xhigh),coding,0.9051305587073886,0.9025140728523974,0.0026164858549911907,0.002890727563908325
glm_5_2_max,GLM-5.2 (max),coding,0.8599264603151546,0.8587896658995123,0.0011367944156422949,0.0013219670147441107
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,coding,0.8171867613404146,0.8155773752485842,0.001609386091830367,0.001969422619121392
