model_id,model,scene,draws,utility_mean,utility_sd,utility_ci_low,utility_ci_high,mean_rank,rank_ci_low,rank_ci_high,probability_rank_1,probability_top_3,top1_probability,top3_probability
kimi_k3_max,Kimi K3 (max reasoning),research,2000,0.8953956103052682,0.03541704967718899,0.8253219504965729,0.9583073303862907,2.767,1.0,6.0,0.149,0.7505,0.149,0.7505
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,2000,0.8937605854389021,0.03470364237502041,0.8243907275327307,0.9565282008951443,2.8765,1.0,5.0,0.1025,0.7325,0.1025,0.7325
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,2000,0.8805927711476449,0.032936263811675456,0.8160942804575306,0.9402771047938497,4.3155,2.0,6.0,0.0025,0.2125,0.0025,0.2125
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,2000,0.9121440682144409,0.03050906351277462,0.8486423626675714,0.9641782772622736,1.7025,1.0,5.0,0.621,0.909,0.621,0.909
claude_opus_4_8_max,Claude Opus 4.8 (max),research,2000,0.8739600566179299,0.0332373918599881,0.8072517488229503,0.9341665847562411,5.113,3.0,7.0,0.0,0.0645,0.0,0.0645
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,2000,0.8226732825056425,0.04448806869879093,0.7352707992270764,0.9063640457323073,8.407,4.0,10.0,0.005,0.0215,0.005,0.0215
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,2000,0.8720268808073047,0.02415575841796382,0.8247442607542861,0.9175223472631088,4.9365,1.0,10.0,0.1185,0.3055,0.1185,0.3055
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,2000,0.8228246262172731,0.03717002688563652,0.7491849018509616,0.8928790938281913,8.5815,6.0,10.0,0.0015,0.004,0.0015,0.004
qwen3_8_max,Qwen3.8-Max,research,2000,0.8341795104630748,0.03275780993458209,0.7690267395301469,0.8933879781854743,7.913,6.0,10.0,0.0,0.0,0.0,0.0
glm_5_2_max,GLM-5.2 (max),research,2000,0.8282370011109683,0.03237398402056816,0.7654230234738252,0.8900372259825822,8.3875,6.0,10.0,0.0,0.0,0.0,0.0
kimi_k3_max,Kimi K3 (max reasoning),dialogue,2000,0.8642146212292634,0.03236665489350711,0.799795138593773,0.9275692247938032,3.7975,2.0,7.0,0.0005,0.4955,0.0005,0.4955
gpt_5_6_sol_max,GPT-5.6 Sol (max),dialogue,2000,0.9279424337962137,0.025679266892998737,0.8748071831157024,0.9781238322277892,1.5155,1.0,2.0,0.51,0.9975,0.51,0.9975
gpt_5_5_xhigh,GPT-5.5 (xhigh),dialogue,2000,0.833365081540418,0.03044270431325385,0.7746390021482031,0.8929781259782297,5.807,3.0,7.0,0.0,0.0365,0.0,0.0365
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",dialogue,2000,0.9272785211314303,0.02310826045249268,0.8808868831619832,0.9699797238548469,1.5445,1.0,3.0,0.4885,0.997,0.4885,0.997
claude_opus_4_8_max,Claude Opus 4.8 (max),dialogue,2000,0.8344831643281032,0.030859661615133732,0.7749002622906687,0.8954152974798634,5.719,3.0,7.0,0.0,0.038,0.0,0.038
gemini_3_1_pro_high,Gemini-3.1-Pro (High),dialogue,2000,0.8622077781233702,0.029443720687081357,0.8018637702663548,0.9170719621048948,3.8445,3.0,6.0,0.001,0.4085,0.001,0.4085
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,dialogue,2000,0.6520555791625923,0.01844275299856245,0.617053852183648,0.6878470323207475,8.682,8.0,10.0,0.0,0.0,0.0,0.0
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,dialogue,2000,0.6448457502302269,0.01736311558904876,0.6107463940100234,0.6787557754462963,9.2075,8.0,10.0,0.0,0.0,0.0,0.0
qwen3_8_max,Qwen3.8-Max,dialogue,2000,0.83404829820885,0.029116653305848977,0.7777368064963197,0.8895384548447793,5.772,3.0,7.0,0.0,0.027,0.0,0.027
