bootstrap_id,source_bootstrap_id,model_id,model_name,model_base_name,model_setting,scenario,scenario_code,scenario_name,utility,source_version
1,q1_uncertainty_normal_approx_0001,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",Claude Fable 5,"max, with fallback",Research,Research,科研长文本分析,0.9139238631939423,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,claude_opus_4_8_max,Claude Opus 4.8 (max),Claude Opus 4.8,max,Research,Research,科研长文本分析,0.8676524900204465,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,DeepSeek-V4-Flash,Max,Research,Research,科研长文本分析,0.8285517829106507,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,DeepSeek-V4-Pro,Max,Research,Research,科研长文本分析,0.8737451968439036,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,gemini_3_1_pro_high,Gemini-3.1-Pro (High),Gemini-3.1-Pro,High,Research,Research,科研长文本分析,0.7999371733974568,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,glm_5_2_max,GLM-5.2 (max),GLM-5.2,max,Research,Research,科研长文本分析,0.8075723824650356,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,gpt_5_5_xhigh,GPT-5.5 (xhigh),GPT-5.5,xhigh,Research,Research,科研长文本分析,0.880335558332977,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,gpt_5_6_sol_max,GPT-5.6 Sol (max),GPT-5.6 Sol,max,Research,Research,科研长文本分析,0.8714425158087382,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,kimi_k3_max,Kimi K3 (max reasoning),Kimi K3,max reasoning,Research,Research,科研长文本分析,0.9025461386137833,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,qwen3_8_max,Qwen3.8-Max,Qwen3.8,Max,Research,Research,科研长文本分析,0.8358346072998428,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",Claude Fable 5,"max, with fallback",General,General,大众日常通用对话,0.9301986349164992,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,claude_opus_4_8_max,Claude Opus 4.8 (max),Claude Opus 4.8,max,General,General,大众日常通用对话,0.8167602707583596,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,DeepSeek-V4-Flash,Max,General,General,大众日常通用对话,0.6429468900937952,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,DeepSeek-V4-Pro,Max,General,General,大众日常通用对话,0.654137289715021,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,gemini_3_1_pro_high,Gemini-3.1-Pro (High),Gemini-3.1-Pro,High,General,General,大众日常通用对话,0.841136191298112,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,glm_5_2_max,GLM-5.2 (max),GLM-5.2,max,General,General,大众日常通用对话,0.6288675343164207,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,gpt_5_5_xhigh,GPT-5.5 (xhigh),GPT-5.5,xhigh,General,General,大众日常通用对话,0.8097334878548206,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,gpt_5_6_sol_max,GPT-5.6 Sol (max),GPT-5.6 Sol,max,General,General,大众日常通用对话,0.8992743058115024,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,kimi_k3_max,Kimi K3 (max reasoning),Kimi K3,max reasoning,General,General,大众日常通用对话,0.8838312292356857,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,qwen3_8_max,Qwen3.8-Max,Qwen3.8,Max,General,General,大众日常通用对话,0.8138484206255507,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",Claude Fable 5,"max, with fallback",Coding,Coding,计算机代码开发,0.9705995283752974,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,claude_opus_4_8_max,Claude Opus 4.8 (max),Claude Opus 4.8,max,Coding,Coding,计算机代码开发,0.8887079228261947,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,DeepSeek-V4-Flash,Max,Coding,Coding,计算机代码开发,0.8013174495330905,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,DeepSeek-V4-Pro,Max,Coding,Coding,计算机代码开发,0.917067120441975,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,gemini_3_1_pro_high,Gemini-3.1-Pro (High),Gemini-3.1-Pro,High,Coding,Coding,计算机代码开发,0.8889942435569554,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,glm_5_2_max,GLM-5.2 (max),GLM-5.2,max,Coding,Coding,计算机代码开发,0.8446348031867696,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,gpt_5_5_xhigh,GPT-5.5 (xhigh),GPT-5.5,xhigh,Coding,Coding,计算机代码开发,0.8681232162134763,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,gpt_5_6_sol_max,GPT-5.6 Sol (max),GPT-5.6 Sol,max,Coding,Coding,计算机代码开发,0.9479082254817838,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,kimi_k3_max,Kimi K3 (max reasoning),Kimi K3,max reasoning,Coding,Coding,计算机代码开发,0.9362196126469743,Q2_SCENARIO_UTILITY_v1.0
1,q1_uncertainty_normal_approx_0001,qwen3_8_max,Qwen3.8-Max,Qwen3.8,Max,Coding,Coding,计算机代码开发,0.8885097937740655,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",Claude Fable 5,"max, with fallback",Research,Research,科研长文本分析,0.901152388216092,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,claude_opus_4_8_max,Claude Opus 4.8 (max),Claude Opus 4.8,max,Research,Research,科研长文本分析,0.8850516947975801,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,DeepSeek-V4-Flash,Max,Research,Research,科研长文本分析,0.7879790868400143,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,DeepSeek-V4-Pro,Max,Research,Research,科研长文本分析,0.8753424106677176,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,gemini_3_1_pro_high,Gemini-3.1-Pro (High),Gemini-3.1-Pro,High,Research,Research,科研长文本分析,0.7983840077348793,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,glm_5_2_max,GLM-5.2 (max),GLM-5.2,max,Research,Research,科研长文本分析,0.8327899936228037,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,gpt_5_5_xhigh,GPT-5.5 (xhigh),GPT-5.5,xhigh,Research,Research,科研长文本分析,0.8850815544682952,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,gpt_5_6_sol_max,GPT-5.6 Sol (max),GPT-5.6 Sol,max,Research,Research,科研长文本分析,0.8877654075028026,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,kimi_k3_max,Kimi K3 (max reasoning),Kimi K3,max reasoning,Research,Research,科研长文本分析,0.8728438916551401,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,qwen3_8_max,Qwen3.8-Max,Qwen3.8,Max,Research,Research,科研长文本分析,0.8360577345470948,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",Claude Fable 5,"max, with fallback",General,General,大众日常通用对话,0.9063790283642887,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,claude_opus_4_8_max,Claude Opus 4.8 (max),Claude Opus 4.8,max,General,General,大众日常通用对话,0.8595012027983179,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,DeepSeek-V4-Flash,Max,General,General,大众日常通用对话,0.6359230682809109,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,DeepSeek-V4-Pro,Max,General,General,大众日常通用对话,0.6541841423247994,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,gemini_3_1_pro_high,Gemini-3.1-Pro (High),Gemini-3.1-Pro,High,General,General,大众日常通用对话,0.8547848780929729,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,glm_5_2_max,GLM-5.2 (max),GLM-5.2,max,General,General,大众日常通用对话,0.6589704171955231,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,gpt_5_5_xhigh,GPT-5.5 (xhigh),GPT-5.5,xhigh,General,General,大众日常通用对话,0.8306488327360282,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,gpt_5_6_sol_max,GPT-5.6 Sol (max),GPT-5.6 Sol,max,General,General,大众日常通用对话,0.9322466047429748,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,kimi_k3_max,Kimi K3 (max reasoning),Kimi K3,max reasoning,General,General,大众日常通用对话,0.8661111523165207,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,qwen3_8_max,Qwen3.8-Max,Qwen3.8,Max,General,General,大众日常通用对话,0.8360604795841277,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",Claude Fable 5,"max, with fallback",Coding,Coding,计算机代码开发,0.9712501013524035,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,claude_opus_4_8_max,Claude Opus 4.8 (max),Claude Opus 4.8,max,Coding,Coding,计算机代码开发,0.9114177510169094,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,DeepSeek-V4-Flash,Max,Coding,Coding,计算机代码开发,0.8525986473270278,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,DeepSeek-V4-Pro,Max,Coding,Coding,计算机代码开发,0.8409698188181631,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,gemini_3_1_pro_high,Gemini-3.1-Pro (High),Gemini-3.1-Pro,High,Coding,Coding,计算机代码开发,0.8975703787449196,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,glm_5_2_max,GLM-5.2 (max),GLM-5.2,max,Coding,Coding,计算机代码开发,0.8476381223241264,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,gpt_5_5_xhigh,GPT-5.5 (xhigh),GPT-5.5,xhigh,Coding,Coding,计算机代码开发,0.87276007739615,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,gpt_5_6_sol_max,GPT-5.6 Sol (max),GPT-5.6 Sol,max,Coding,Coding,计算机代码开发,0.9390582183133748,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,kimi_k3_max,Kimi K3 (max reasoning),Kimi K3,max reasoning,Coding,Coding,计算机代码开发,0.9366144192579127,Q2_SCENARIO_UTILITY_v1.0
2,q1_uncertainty_normal_approx_0002,qwen3_8_max,Qwen3.8-Max,Qwen3.8,Max,Coding,Coding,计算机代码开发,0.9116414173175904,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",Claude Fable 5,"max, with fallback",Research,Research,科研长文本分析,0.8467320189889196,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,claude_opus_4_8_max,Claude Opus 4.8 (max),Claude Opus 4.8,max,Research,Research,科研长文本分析,0.823281498587572,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,DeepSeek-V4-Flash,Max,Research,Research,科研长文本分析,0.7914267218804905,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,DeepSeek-V4-Pro,Max,Research,Research,科研长文本分析,0.8557992699054395,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,gemini_3_1_pro_high,Gemini-3.1-Pro (High),Gemini-3.1-Pro,High,Research,Research,科研长文本分析,0.7365750273786119,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,glm_5_2_max,GLM-5.2 (max),GLM-5.2,max,Research,Research,科研长文本分析,0.7764467400943786,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,gpt_5_5_xhigh,GPT-5.5 (xhigh),GPT-5.5,xhigh,Research,Research,科研长文本分析,0.8213252985410714,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,gpt_5_6_sol_max,GPT-5.6 Sol (max),GPT-5.6 Sol,max,Research,Research,科研长文本分析,0.8445394592524699,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,kimi_k3_max,Kimi K3 (max reasoning),Kimi K3,max reasoning,Research,Research,科研长文本分析,0.8207741575525229,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,qwen3_8_max,Qwen3.8-Max,Qwen3.8,Max,Research,Research,科研长文本分析,0.7786832181782319,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",Claude Fable 5,"max, with fallback",General,General,大众日常通用对话,0.8769374339205109,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,claude_opus_4_8_max,Claude Opus 4.8 (max),Claude Opus 4.8,max,General,General,大众日常通用对话,0.779778078482297,Q2_SCENARIO_UTILITY_v1.0
3,q1_uncertainty_normal_approx_0003,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,DeepSeek-V4-Flash,Max,General,General,大众日常通用对话,0.6289448017398758,Q2_SCENARIO_UTILITY_v1.0
