model_id,model,research_utility,research_rank,research_top1_probability,research_top3_probability,research_utility_low,research_utility_high,dialogue_utility,dialogue_rank,dialogue_top1_probability,dialogue_top3_probability,dialogue_utility_low,dialogue_utility_high,coding_utility,coding_rank,coding_top1_probability,coding_top3_probability,coding_utility_low,coding_utility_high,q1_freeze_version,q2_freeze_version,q2_model_spec_sha256
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",0.9183374822531004,1.0,0.621,0.909,0.8486423626675714,0.9641782772622736,0.932418708623976,1.0,0.4885,0.997,0.8808868831619832,0.9699797238548468,0.976203830156862,2.0,0.262,0.902,0.8554303587456524,0.988109852634208,frozen/v1.0 + Q1 v1.2 official outputs,Q2_FINAL_v1.0,5eb483577f32621802c3249d6a39fbdf81e8170fa6e1f7af2cf381fd3135482d
claude_opus_4_8_max,Claude Opus 4.8 (max),0.8794135287469893,5.0,0.0,0.0645,0.8072517488229503,0.9341665847562411,0.8383394649502275,6.0,0.0,0.038,0.7749002622906687,0.8954152974798634,0.9163907203396128,7.0,0.0,0.0245,0.8054641966983235,0.9445283939799076,frozen/v1.0 + Q1 v1.2 official outputs,Q2_FINAL_v1.0,5eb483577f32621802c3249d6a39fbdf81e8170fa6e1f7af2cf381fd3135482d
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,0.8272893300307572,10.0,0.0015,0.004,0.7491849018509616,0.8928790938281913,0.6468756848029605,10.0,0.0,0.0,0.6107463940100234,0.6787557754462963,0.8155773752485842,10.0,0.0045,0.019,0.6709700752000063,0.9299856462712977,frozen/v1.0 + Q1 v1.2 official outputs,Q2_FINAL_v1.0,5eb483577f32621802c3249d6a39fbdf81e8170fa6e1f7af2cf381fd3135482d
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,0.8777936799153787,6.0,0.1185,0.3055,0.8247442607542861,0.9175223472631088,0.6542860728359404,8.0,0.0,0.0,0.617053852183648,0.6878470323207475,0.9610626303156368,3.0,0.3265,0.57,0.8241004025621106,0.9790279598851492,frozen/v1.0 + Q1 v1.2 official outputs,Q2_FINAL_v1.0,5eb483577f32621802c3249d6a39fbdf81e8170fa6e1f7af2cf381fd3135482d
gemini_3_1_pro_high,Gemini-3.1-Pro (High),0.8281204723179951,9.0,0.005,0.0215,0.7352707992270764,0.9063640457323072,0.8661586954130576,4.0,0.001,0.4085,0.8018637702663548,0.9170719621048948,0.9259813234950288,5.0,0.0,0.022,0.8161905491778384,0.9410424570330794,frozen/v1.0 + Q1 v1.2 official outputs,Q2_FINAL_v1.0,5eb483577f32621802c3249d6a39fbdf81e8170fa6e1f7af2cf381fd3135482d
glm_5_2_max,GLM-5.2 (max),0.8335860041360706,8.0,0.0,0.0,0.7654230234738252,0.8900372259825822,0.6481379677469584,9.0,0.0,0.0,0.610785110502796,0.6822862307407873,0.8587896658995123,9.0,0.0,0.0,0.7491243943481338,0.8930933917908155,frozen/v1.0 + Q1 v1.2 official outputs,Q2_FINAL_v1.0,5eb483577f32621802c3249d6a39fbdf81e8170fa6e1f7af2cf381fd3135482d
gpt_5_5_xhigh,GPT-5.5 (xhigh),0.8861624515886894,4.0,0.0025,0.2125,0.8160942804575306,0.9402771047938496,0.837174749199171,7.0,0.0,0.0365,0.7746390021482031,0.8929781259782297,0.9025140728523974,8.0,0.0,0.0045,0.7877972558238263,0.9313759075978,frozen/v1.0 + Q1 v1.2 official outputs,Q2_FINAL_v1.0,5eb483577f32621802c3249d6a39fbdf81e8170fa6e1f7af2cf381fd3135482d
gpt_5_6_sol_max,GPT-5.6 Sol (max),0.8992413504614967,3.0,0.1025,0.7325,0.8243907275327307,0.9565282008951445,0.932145427852394,2.0,0.51,0.9975,0.8748071831157024,0.9781238322277892,0.9512731717446156,4.0,0.026,0.4985,0.8327270457551111,0.9775118067284968,frozen/v1.0 + Q1 v1.2 official outputs,Q2_FINAL_v1.0,5eb483577f32621802c3249d6a39fbdf81e8170fa6e1f7af2cf381fd3135482d
kimi_k3_max,Kimi K3 (max reasoning),0.9012926282950032,2.0,0.149,0.7505,0.8253219504965729,0.9583073303862908,0.8687069582921643,3.0,0.0005,0.4955,0.799795138593773,0.9275692247938032,0.9813020054113564,1.0,0.381,0.9475,0.8578634719648628,0.9964723925256423,frozen/v1.0 + Q1 v1.2 official outputs,Q2_FINAL_v1.0,5eb483577f32621802c3249d6a39fbdf81e8170fa6e1f7af2cf381fd3135482d
qwen3_8_max,Qwen3.8-Max,0.8397485755751156,7.0,0.0,0.0,0.7690267395301469,0.8933879781854743,0.8383797086565321,5.0,0.0,0.027,0.7777368064963197,0.8895384548447793,0.925700177687948,6.0,0.0,0.012,0.8165520022479468,0.9406681107865654,frozen/v1.0 + Q1 v1.2 official outputs,Q2_FINAL_v1.0,5eb483577f32621802c3249d6a39fbdf81e8170fa6e1f7af2cf381fd3135482d
