scenario,budget_threshold,optimal_model_before,optimal_model_after,delta_utility,delta_cost,utility_after,cost_after
Coding,0.01056,NO_FEASIBLE_MODEL,deepseek_v4_flash_max,,,0.8155773752485842,0.01056
Coding,0.03168,deepseek_v4_flash_max,deepseek_v4_pro_max,0.14548525506705257,0.02112,0.9610626303156368,0.03168
Coding,0.10683,deepseek_v4_pro_max,kimi_k3_max,0.020239375095719603,0.07515,0.9813020054113564,0.10683
General,0.0022,NO_FEASIBLE_MODEL,deepseek_v4_flash_max,,,0.6468756848029605,0.0022
General,0.0066,deepseek_v4_flash_max,deepseek_v4_pro_max,0.007410388032979887,0.004399999999999999,0.6542860728359404,0.0066
General,0.0089025,deepseek_v4_pro_max,qwen3_8_max,0.18409363582059168,0.0023025000000000007,0.8383797086565321,0.0089025
General,0.016,qwen3_8_max,gemini_3_1_pro_high,0.02777898675652546,0.0070975,0.8661586954130576,0.016
General,0.0207725,gemini_3_1_pro_high,kimi_k3_max,0.0025482628791066997,0.004772499999999999,0.8687069582921643,0.0207725
General,0.04,kimi_k3_max,gpt_5_6_sol_max,0.0634384695602297,0.0192275,0.932145427852394,0.04
Research,0.01232,NO_FEASIBLE_MODEL,deepseek_v4_flash_max,,,0.8272893300307572,0.01232
Research,0.03696,deepseek_v4_flash_max,deepseek_v4_pro_max,0.05050434988462149,0.024640000000000002,0.8777936799153787,0.03696
Research,0.10683,deepseek_v4_pro_max,kimi_k3_max,0.023498948379624518,0.06986999999999999,0.9012926282950032,0.10683
