model_id,scenario,nominal_pareto,pareto_probability
claude_opus_4_8_max,Coding,False,0.0015
claude_opus_4_8_max,General,False,0.04
claude_opus_4_8_max,Research,False,0.0565
deepseek_v4_flash_max,Coding,True,1.0
deepseek_v4_flash_max,General,True,1.0
deepseek_v4_flash_max,Research,True,1.0
deepseek_v4_pro_max,Coding,True,0.9465
deepseek_v4_pro_max,General,True,0.6745
deepseek_v4_pro_max,Research,True,0.889
gemini_3_1_pro_high,Coding,False,0.162
gemini_3_1_pro_high,General,True,0.905
gemini_3_1_pro_high,Research,False,0.11
gpt_5_5_xhigh,Coding,False,0.0
gpt_5_5_xhigh,General,False,0.0
gpt_5_5_xhigh,Research,False,0.0335
gpt_5_6_sol_max,Coding,False,0.06
gpt_5_6_sol_max,General,True,0.9765
gpt_5_6_sol_max,Research,False,0.3405
kimi_k3_max,Coding,True,0.615
kimi_k3_max,General,True,0.5225
kimi_k3_max,Research,True,0.7355
qwen3_8_max,Coding,False,0.284
qwen3_8_max,General,True,1.0
qwen3_8_max,Research,False,0.1045
