model_id,scenario,pareto_probability
claude_opus_4_8_max,Coding,0.0015
claude_opus_4_8_max,General,0.04
claude_opus_4_8_max,Research,0.0565
deepseek_v4_flash_max,Coding,1.0
deepseek_v4_flash_max,General,1.0
deepseek_v4_flash_max,Research,1.0
deepseek_v4_pro_max,Coding,0.9465
deepseek_v4_pro_max,General,0.6745
deepseek_v4_pro_max,Research,0.889
gemini_3_1_pro_high,Coding,0.162
gemini_3_1_pro_high,General,0.905
gemini_3_1_pro_high,Research,0.11
gpt_5_5_xhigh,Coding,0.0
gpt_5_5_xhigh,General,0.0
gpt_5_5_xhigh,Research,0.0335
gpt_5_6_sol_max,Coding,0.06
gpt_5_6_sol_max,General,0.9765
gpt_5_6_sol_max,Research,0.3405
kimi_k3_max,Coding,0.615
kimi_k3_max,General,0.5225
kimi_k3_max,Research,0.7355
qwen3_8_max,Coding,0.284
qwen3_8_max,General,1.0
qwen3_8_max,Research,0.1045
